feature,mean_importance
name_robert,-8.326672684688674e-18
ticket_113505,-8.326672684688674e-18
home.dest_st,-8.326672684688674e-18
home.dest_syria,-8.326672684688674e-18
ticket_11813,-8.326672684688674e-18
name_carter,-8.326672684688674e-18
name_cor,-8.326672684688674e-18
ticket_11767,-8.326672684688674e-18
ticket_17593,-8.326672684688674e-18
ticket_17582,-8.326672684688674e-18
home.dest_wichita,-5.551115123125783e-18
home.dest_pq,-5.551115123125783e-18
ticket_113760,-5.551115123125783e-18
home.dest_austria,-5.551115123125783e-18
home.dest_belfast,-5.551115123125783e-18
name_elias,-5.551115123125783e-18
name_albert,-5.551115123125783e-18
name_lamson,-5.551115123125783e-18
ticket_33595,-5.551115123125783e-18
ticket_347074,-5.551115123125783e-18
ticket_315098,-5.551115123125783e-18
name_hansen,-5.551115123125783e-18
home.dest_west,-5.551115123125783e-18
home.dest_hartford,-5.551115123125783e-18
name_frederick,-5.551115123125783e-18
home.dest_east,-5.551115123125783e-18
home.dest_worcester,-5.551115123125783e-18
name_herman,-5.551115123125783e-18
home.dest_greenport,-5.551115123125783e-18
home.dest_haiti,-5.551115123125783e-18
ticket_3101295,-5.551115123125783e-18
name_palsson,-5.551115123125783e-18
ticket_113503,-5.551115123125783e-18
ticket_2144,-5.551115123125783e-18
home.dest_wv,-5.551115123125783e-18
home.dest_somerset,-2.7755575615628915e-18
name_victor,-2.7755575615628915e-18
ticket_ca,-2.7755575615628915e-18
name_white,-2.7755575615628915e-18
ticket_17756,-2.7755575615628915e-18
name_harry,-2.7755575615628915e-18
home.dest_paris,-2.7755575615628915e-18
name_sofia,-2.7755575615628915e-18
name_smith,-2.7755575615628915e-18
home.dest_sea,-2.7755575615628915e-18
home.dest_bulgaria,-2.7755575615628915e-18
name_graham,-2.7755575615628915e-18
home.dest_wiltshire,-2.7755575615628915e-18
home.dest_francisco,-2.7755575615628915e-18
name_catherine,-2.7755575615628915e-18
home.dest_hill,-2.7755575615628915e-18
home.dest_island,-2.7755575615628915e-18
