,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
61,:mljar,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,244.18666666666667,240,0,0.6221146635616848,,0.9257743450050995,
62,:flaml,:tabular_classification,6501a95487d6e0440cfb86ca,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,248.34798333333336,240,0,0.5,,0.7440544317866781,
63,:autokeras,:tabular_classification,65552650042fd12905abfe1f,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,117.5065,20,0,0.0,,0,
64,:evalml,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,14.346383333333334,60,0,0.7714416319067482,,0.9741508378880531,
65,:lama,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,14.4949,60,0,0.7919118907491001,,1.0,
66,:pycaret,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,15.861083333333333,60,0,0.774245043140392,,0.9776908923643054,
67,:gama,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,54.205450000000006,60,0,0.0,,0.0,
68,:mljar,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,59.90696666666667,60,0,0.7752485572253014,,0.9789580965780976,
69,:tpot,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,60.35423333333333,60,0,0.0,,0.0,
70,:autogluon,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,60.9851,60,0,0.7663204959716587,,0.9676840377365297,
71,:flaml,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,66.10856666666668,60,0,0.7629635449402892,,0.9634449916121003,
72,:autokeras,:tabular_classification,64e0733f31c0cd17736269f6,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,351.341,60,0,0.0,,0.0,
73,:pycaret,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,13.307233333333333,240,0,0.7981758185246557,,1.0,
74,:lama,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,14.9634,240,0,0.7846444488886349,,0.9830471315692925,
75,:evalml,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,15.135516666666666,240,0,0.7714416319067482,,0.9665058925647199,
76,:tpot,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,65.44053333333333,240,0,0.0,,0.0,
77,:autogluon,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,104.00433333333334,240,0,0.7646420204559738,,0.9579869531368846,
78,:gama,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,216.48256666666666,240,0,0.7765984800868522,,0.9729666848618804,
79,:mljar,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,244.59505,240,0,0.7783983772355865,,0.9752216982398367,
80,:flaml,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,249.44773333333333,240,0,0.7593816067653277,,0.9513964080858338,
81,:autokeras,:tabular_classification,6501ee7387d6e0440cfb86d4,Bioresponse.csv,30.200675999999998,3751,1777,0.0,0.0,0.0,0.85,352.11751666666663,240,0,0.0,,0.0,
82,:evalml,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,7.648466666666667,60,0,0.0,,0.0,
83,:pycaret,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,12.7528,60,0,0.5,,0.857998457059737,
